term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
fully,1,0,4.780608301562732,0.47571162267083594
correlate,1,0,4.780608301562732,0.47571162267083594
demonstrating,1,0,4.780608301562732,0.47571162267083594
far,1,0,4.780608301562732,0.47571162267083594
net,1,0,4.780608301562732,0.47571162267083594
reducing,1,0,4.780608301562732,0.47571162267083594
provide,1,0,4.780608301562732,0.47571162267083594
equal,1,0,4.780608301562732,0.47571162267083594
settings,1,0,4.780608301562732,0.47571162267083594
follow-through,1,0,4.780608301562732,0.47571162267083594
damage,1,0,4.780608301562732,0.47571162267083594
followed,1,0,4.780608301562732,0.47571162267083594
1-2,1,0,4.780608301562732,0.47571162267083594
level,13,13,0.16558845208289874,0.42233171582085094
global,6,6,0.16547909578001807,0.2868569505454209
large,5,5,0.16546348526783206,0.2618822315798269
countries,362,421,0.014950279306898295,0.20857841762257495
history,19,21,0.06547522534228989,0.20684381739454458
fund,3,3,0.16543227309766273,0.20294973431443755
suggest,3,3,0.16543227309766273,0.20294973431443755
commitment,3,3,0.16543227309766273,0.20294973431443755
likely,3,3,0.16543227309766273,0.20294973431443755
investment,3,3,0.16543227309766273,0.20294973431443755
observations,2,2,0.16541667143800076,0.16582969747779086
trend,2,2,0.16541667143800076,0.16582969747779086
size,2,2,0.16541667143800076,0.16582969747779086
pattern,2,2,0.16541667143800076,0.16582969747779086
without,2,2,0.16541667143800076,0.16582969747779086
notable,2,2,0.16541667143800076,0.16582969747779086
necessary,2,2,0.16541667143800076,0.16582969747779086
still,2,2,0.16541667143800076,0.16582969747779086
defaults,360,420,0.011665856441606337,0.16242424476943595
mode,360,420,0.011665856441606337,0.16242424476943595
standing,1,1,0.16540107272750149,0.11753954655349474
prevalent,1,1,0.16540107272750149,0.11753954655349474
payouts,1,1,0.16540107272750149,0.11753954655349474
value,1,1,0.16540107272750149,0.11753954655349474
best,1,1,0.16540107272750149,0.11753954655349474
sufficient,1,1,0.16540107272750149,0.11753954655349474
shift,1,1,0.16540107272750149,0.11753954655349474
waters,1,1,0.16540107272750149,0.11753954655349474
fraction,1,1,0.16540107272750149,0.11753954655349474
overextending,1,1,0.16540107272750149,0.11753954655349474
prioritize,1,1,0.16540107272750149,0.11753954655349474
consider,1,1,0.16540107272750149,0.11753954655349474
negative,1,1,0.16540107272750149,0.11753954655349474
emerge,1,1,0.16540107272750149,0.11753954655349474
returns,1,1,0.16540107272750149,0.11753954655349474
multiplier,1,1,0.16540107272750149,0.11753954655349474
indicate,1,1,0.16540107272750149,0.11753954655349474
situation,1,1,0.16540107272750149,0.11753954655349474
role,1,1,0.16540107272750149,0.11753954655349474
preserving,1,1,0.16540107272750149,0.11753954655349474
since,1,1,0.16540107272750149,0.11753954655349474
high-contrib,1,1,0.16540107272750149,0.11753954655349474
effort,1,1,0.16540107272750149,0.11753954655349474
common,1,1,0.16540107272750149,0.11753954655349474
avoiding,1,1,0.16540107272750149,0.11753954655349474
several,1,1,0.16540107272750149,0.11753954655349474
detected,1,1,0.16540107272750149,0.11753954655349474
ldf,360,422,0.006735379786210416,0.09387972577986757
high,441,520,0.0006333977697696724,0.009784539328754836
stage,11,13,-0.0015307462414906325,-0.0037380835837532607
typical,14,17,-0.028686434597616994,-0.07951094247836063
recent,17,21,-0.045893507260862165,-0.14070527367990304
suggests,3,4,-0.12150562401678044,-0.15932475459726153
free-rider,3,4,-0.12150562401678044,-0.15932475459726153
want,3,4,-0.12150562401678044,-0.15932475459726153
need,2,3,-0.2384754122863182,-0.26180203994387974
effects,2,3,-0.2384754122863182,-0.26180203994387974
million,2,3,-0.2384754122863182,-0.26180203994387974
used,2,3,-0.2384754122863182,-0.26180203994387974
high-contributor,2,3,-0.2384754122863182,-0.26180203994387974
balances,11,15,-0.14470272660082983,-0.36467590886782436
free,4,6,-0.2393591212067232,-0.37121502259820244
aligns,17,23,-0.1369976443590879,-0.42843508024075283
dollars,1,2,-0.5228700380039051,-0.42869557457406104
lower,1,2,-0.5228700380039051,-0.42869557457406104
performance,1,2,-0.5228700380039051,-0.42869557457406104
close,1,2,-0.5228700380039051,-0.42869557457406104
indicating,1,2,-0.5228700380039051,-0.42869557457406104
increase,1,2,-0.5228700380039051,-0.42869557457406104
believe,1,2,-0.5228700380039051,-0.42869557457406104
overall,1,2,-0.5228700380039051,-0.42869557457406104
