run,source_file,round_number,agent_id,agent_group,institution_choice,stage1_payoff,stage2_payoff,payoff,cumulative_payoff,wealth
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,4,25,developed,SI,1155207.0666666664,-4.0,1155203.0666666664,6194087.2,6194087.2
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,0,developed,SI,4550868.133333334,-2018.0,4544350.133333334,24320089.333333332,24320089.333333332
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,1,developing,SFI,281590.2857142857,0.0,279340.2857142857,1362466.9142857143,1362466.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,2,developing,SFI,481590.2857142857,0.0,479340.2857142857,1141092.9142857143,1141092.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,3,developing,SFI,-1002735.7142857143,0.0,-1004985.7142857143,779340.9142857143,779340.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,4,developed,SI,-1449131.8666666662,-4.0,-1453480.8666666662,10444406.333333332,10444406.333333332
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,5,developing,SFI,-433915.7142857143,0.0,-436165.7142857143,779340.9142857143,779340.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,6,developed,SI,2550868.133333334,-6.0,2546362.133333334,16575910.333333332,16575910.333333332
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,7,developed,SI,3921727.133333334,-14.0,3917213.133333334,14418848.333333332,14418848.333333332
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,8,developing,SFI,267249.2857142857,0.0,264999.2857142857,1154184.9142857143,1154184.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,9,developing,SFI,781590.2857142857,0.0,779340.2857142857,1453666.9142857143,1453666.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,10,developing,SFI,356400.2857142857,0.0,354150.2857142857,779340.9142857143,779340.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,11,developing,SFI,630058.2857142857,0.0,627808.2857142857,1651722.9142857143,1651722.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,12,developing,SFI,531590.2857142857,0.0,529340.2857142857,954530.9142857143,954530.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,13,developing,SFI,567801.2857142857,0.0,565551.2857142857,990984.9142857142,990984.9142857142
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,14,developed,SI,-1449131.8666666662,-12.0,-1453643.8666666662,7269189.333333333,7269189.333333333
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,15,developing,SFI,781590.2857142857,0.0,779340.2857142857,1723726.9142857143,1723726.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,16,developing,SFI,-218409.71428571432,0.0,-220659.71428571432,1059966.9142857143,1059966.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,17,developing,SFI,497359.2857142857,0.0,495109.2857142857,1344025.9142857143,1344025.9142857143
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,18,developed,SI,2048498.1333333338,215.0,2044213.1333333338,11048957.333333336,11048957.333333336
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,19,developed,SI,6550868.133333334,-1581.0,6544787.133333334,13863695.333333332,13863695.333333332
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,20,developed,SI,3550868.133333334,-12.0,3546356.133333334,18536463.333333332,18536463.333333332
20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,5,21,developed,SI,4550868.133333334,-13.0,4546355.133333334,13850037.333333332,13850037.333333332
