seed,round_number,institution_choice,n,mean_prop,median_prop,std_prop,mean_contribution,mean_wealth
seed2,19,SFI,14,0.19104008805679668,0.03956166441410155,0.2773347595273557,803198.6428571428,8000648.742857145
seed2,20,SFI,14,0.5252475846754749,0.1945585249890447,1.2093963188171508,2328284.0,9397619.142857142
seed2,21,SFI,14,0.3709559224748014,0.27193923965087213,0.2955091793600483,3694628.785714286,11614396.414285718
seed2,22,SFI,14,0.24592204976518145,0.2479459316957566,0.23712531952749685,2048629.9285714286,12843574.371428574
seed2,23,SFI,14,0.34614450277057107,0.22043770192278175,0.5769927181776984,3610381.785714286,15009803.442857146
seed2,24,SFI,14,0.3533647237908349,0.14654129897319712,0.7021123319069069,2668445.5714285714,16610870.785714295
seed2,25,SFI,14,0.21338081767420108,0.1653228453478367,0.2263631307886842,2582617.214285714,18160441.11428572
seed2,26,SFI,14,0.28816812650378093,0.3150325992756214,0.20302674660112346,4636942.785714285,20942606.78571429
seed2,27,SFI,14,0.48098978624074806,0.11568071673355851,0.8183838238067371,6001128.5,24543283.885714293
seed2,28,SFI,14,0.1777788966637799,0.14650219428391745,0.20484298950683935,2795241.3571428573,26220428.7
seed2,29,SFI,14,0.2755443082338557,0.16185824946016641,0.3312687806923218,4264049.285714285,28778858.271428578
seed2,30,SFI,14,0.41286993875947037,0.248004988588725,0.5394507455265527,7795241.357142857,33456003.085714288
seed2,1,SI,12,0.3268222275386915,0.22837554553468326,0.4763738271379545,2555880.0,6036182.833333333
seed2,2,SI,12,0.3584116382163501,0.32671079392585767,0.3139276835634578,1776994.4166666667,7101066.4833333315
seed2,3,SI,12,0.4696045174568606,0.2426378836776406,0.6543470017379748,3150381.9166666665,8989162.799999999
seed2,4,SI,12,0.43574975925555326,0.3476505877578917,0.4018383630505232,3847004.4166666665,11295573.950000001
seed2,5,SI,12,0.3710405065003457,0.21182730751494594,0.36805464701547785,4094292.5833333335,13747157.333333334
seed2,6,SI,12,0.38872109650987546,0.32072282212377035,0.3523342866487417,4783291.833333333,16614110.849999996
seed2,7,SI,12,0.5220175773061402,0.3715423152924334,0.7152868123999692,7695667.166666667,21225895.566666666
seed2,8,SI,12,0.5327678178368837,0.4437309640896939,0.36458454723338396,13183130.833333334,28931685.98333333
seed2,9,SI,12,0.4551039857040071,0.35275240995354146,0.2717593226029027,15120095.25,38001421.88333335
seed2,10,SI,12,0.3926083338401161,0.3286006245803731,0.1817998854763532,17173796.5,48295891.95000001
seed2,11,SI,12,0.39900329203803103,0.2571790679034744,0.42505534843427795,18453022.5,59366675.78333334
seed2,12,SI,12,0.2955524222387375,0.293716424725032,0.17815477667748728,19799407.75,71245076.93333334
seed2,13,SI,12,0.2705957456757137,0.2980905605345864,0.15919324341730254,19402218.833333332,82884208.98333333
seed2,14,SI,12,0.2704694405652891,0.2611139200147818,0.13034384402798113,24661884.75,97675542.08333336
seed2,15,SI,12,0.28507668560919763,0.2319068766879861,0.12425580740235553,32076146.583333332,116914264.95
seed2,16,SI,12,0.33968288516910367,0.24383421952291365,0.46800220727147085,32459659.166666668,136388920.28333333
seed2,17,SI,12,0.4606006055284811,0.20443541317195157,0.6669602511313326,46316156.166666664,164175591.65
