term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
approach,1,1,0.1672621810203534,0.11886211249107581
avoiding,1,1,0.1672621810203534,0.11886211249107581
value,1,1,0.1672621810203534,0.11886211249107581
stage,11,13,0.0003091574288092147,0.0007549626960388424
typical,14,17,-0.0269045295441952,-0.07457198954845243
free,4,5,-0.05548019279614813,-0.08279912400352661
recent,17,21,-0.0441697343627343,-0.13542034446291287
want,3,4,-0.11972584593780766,-0.15699101319257755
suggests,3,4,-0.11972584593780766,-0.15699101319257755
need,2,3,-0.23671918604245334,-0.25987402728698256
effects,2,3,-0.23671918604245334,-0.25987402728698256
million,2,3,-0.23671918604245334,-0.25987402728698256
balances,11,15,-0.14312063186354607,-0.36068875638088116
aligns,17,23,-0.13553230556031082,-0.4238525011112285
performance,1,2,-0.5211373481662704,-0.4272749606327094
believe,1,2,-0.5211373481662704,-0.4272749606327094
indicating,1,2,-0.5211373481662704,-0.4272749606327094
moderately,1,2,-0.5211373481662704,-0.4272749606327094
close,1,2,-0.5211373481662704,-0.4272749606327094
half,1,2,-0.5211373481662704,-0.4272749606327094
dollars,1,2,-0.5211373481662704,-0.4272749606327094
increase,1,2,-0.5211373481662704,-0.4272749606327094
choosing,50,64,-0.08066108905140901,-0.4273915229097282
optimizing,0,1,-4.448112583021745,-0.4426254403650123
apparent,0,1,-4.448112583021745,-0.4426254403650123
highest,0,1,-4.448112583021745,-0.4426254403650123
reflects,0,1,-4.448112583021745,-0.4426254403650123
