term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
fiscal capacity,6,0,6.566359410927983,0.6560903357297097
historical strategy,6,0,6.566359410927983,0.6560903357297097
contribution optimal,6,0,6.566359410927983,0.6560903357297097
maximize mcpr,6,0,6.566359410927983,0.6560903357297097
high fiscal,6,0,6.566359410927983,0.6560903357297097
strategy historical,5,0,6.3842507303066105,0.637788874493935
long-run climate,5,0,6.3842507303066105,0.637788874493935
cooperate credibility,5,0,6.3842507303066105,0.637788874493935
individual collective,5,0,6.3842507303066105,0.637788874493935
collective interests,5,0,6.3842507303066105,0.637788874493935
balance individual,5,0,6.3842507303066105,0.637788874493935
contribution enough,5,0,6.3842507303066105,0.637788874493935
institution history,15,14,0.23636922077406552,0.6362849238863919
follow deviate,14,13,0.24145850876525365,0.6271299727091878
recent contribution,14,13,0.24145850876525365,0.6271299727091878
selfish institution,3,2,0.5710076277016238,0.6268611104289393
follow cooperate,3,2,0.5710076277016238,0.6268611104289393
demonstrate commitment,3,2,0.5710076277016238,0.6268611104289393
index choose,3,2,0.5710076277016238,0.6268611104289393
contribution global,3,2,0.5710076277016238,0.6268611104289393
align previous,3,2,0.5710076277016238,0.6268611104289393
data observed,3,2,0.5710076277016238,0.6268611104289393
amount demonstrate,3,2,0.5710076277016238,0.6268611104289393
low-contributors mostly,3,2,0.5710076277016238,0.6268611104289393
wealth future,3,2,0.5710076277016238,0.6268611104289393
past rounds,3,2,0.5710076277016238,0.6268611104289393
average level,3,2,0.5710076277016238,0.6268611104289393
contribution slightly,3,2,0.5710076277016238,0.6268611104289393
peers others,4,0,6.161486223718906,0.6153817911819572
credibility considering,4,0,6.161486223718906,0.6153817911819572
followers strategy,4,0,6.161486223718906,0.6153817911819572
contributors following,4,0,6.161486223718906,0.6153817911819572
amount slightly,4,0,6.161486223718906,0.6153817911819572
balancing self-interest,4,0,6.161486223718906,0.6153817911819572
much possible,4,0,6.161486223718906,0.6153817911819572
higher emissions,4,0,6.161486223718906,0.6153817911819572
credibility long-run,4,0,6.161486223718906,0.6153817911819572
top peers,4,0,6.161486223718906,0.6153817911819572
contribution much,4,0,6.161486223718906,0.6153817911819572
follow standard,4,0,6.161486223718906,0.6153817911819572
historically higher,4,0,6.161486223718906,0.6153817911819572
capacity historically,4,0,6.161486223718906,0.6153817911819572
contribution top,4,0,6.161486223718906,0.6153817911819572
